406	1.70	438	1.56	6954	412	31.79	456	28.65	1793	418	29.60	463	51.79	6637	413	32.61	447	25.49	1818	411	29.72	449	51.99
396	1.88	460	1.93	6317	395	34.71	454	30.35	1720	402	32.88	467	52.03	6733	394	30.80	446	30.84	1827	388	27.26	475	52.03
401	1.67	460	3.33	6884	413	32.84	458	31.35	1909	419	30.31	467	52.12	6884	417	32.65	461	30.20	1802	415	26.14	472	50.12
412	1.79	456	2.79	7117	411	32.75	455	34.59	1781	421	31.70	479	50.80	6493	417	31.67	458	30.44	1840	425	30.25	476	53.61
414	1.84	461	2.88	6840	419	32.98	459	32.33	1827	421	31.04	477	49.14	6027	429	30.38	466	28.10	1795	436	31.87	471	52.23
405	1.79	460	2.66	6052	411	38.12	471	28.70	1716	419	34.26	471	52.49	6796	414	31.31	468	28.12	1785	415	29.11	478	53.12
409	1.70	461	2.52	7340	413	36.26	462	34.75	1705	420	36.24	483	51.00	6682	410	33.33	459	30.70	1762	417	30.36	485	50.77
407	2.47	454	2.47	6631	410	34.33	469	25.80	1647	411	36.19	485	50.59	6930	414	33.44	467	29.56	1870	414	27.35	485	48.79
413	1.88	467	2.12	6978	390	28.56	472	28.49	1846	387	23.31	483	47.79	6877	390	30.07	473	27.83	1740	393	29.07	490	49.74
400	2.07	460	4.02	6990	400	30.05	473	28.36	1807	402	28.24	459	51.51	7072	398	30.90	470	28.64	1696	414	33.53	487	51.45
408	2.56	453	2.90	6622	406	38.15	459	32.28	1619	412	38.73	482	52.75	6742	411	28.03	464	26.85	1821	417	30.36	478	52.70
402	1.97	467	3.64	7114	419	35.72	466	31.17	1578	419	34.32	488	50.07	6744	402	31.19	471	28.46	1783	403	36.62	483	52.11
412	2.12	459	2.67	7079	409	31.27	468	30.53	1475	408	35.82	477	50.19	6422	414	32.46	461	29.10	1708	421	38.79	483	53.17
417	2.26	459	4.41	6698	417	37.91	472	28.93	1706	416	34.70	481	52.59	7081	419	30.47	472	28.61	1604	421	29.95	485	50.81
417	2.43	469	2.76	7160	430	35.46	473	31.79	1790	436	29.23	482	51.99	6670	431	30.11	464	28.05	1776	431	28.35	482	53.36
413	2.94	457	3.04	6393	413	34.45	474	29.61	1648	410	33.01	477	52.30	6708	409	29.48	469	28.72	1670	412	31.40	484	47.05
405	1.74	459	3.77	7189	399	37.45	467	26.58	1863	404	30.47	482	51.89	6738	401	32.26	465	29.25	1653	405	35.50	484	51.83
420	1.66	463	2.34	6788	420	38.91	473	29.23	1705	419	29.51	489	52.12	6656	413	30.19	461	26.94	1735	415	31.97	481	53.30
425	1.75	458	2.84	6918	425	37.47	472	29.51	1689	433	33.52	484	50.53	6382	424	31.53	459	28.91	1722	418	34.70	481	49.68
421	1.56	468	2.62	7042	419	34.52	478	34.17	1682	410	28.76	486	53.18	7007	406	34.19	476	26.95	1694	410	31.16	462	49.00
408	1.70	436	2.20	6919	408	36.40	451	32.24	1804	409	29.52	485	50.10	6525	407	29.48	461	26.41	1687	406	33.82	484	51.48
397	2.37	465	2.37	6948	413	38.24	460	31.81	1659	428	39.27	496	51.41	6635	434	32.58	469	28.93	1890	437	32.99	476	51.25
440	1.93	459	2.34	6954	434	32.07	469	30.84	1772	436	33.22	499	52.00	7064	437	31.02	467	28.67	1626	437	31.74	491	48.87
432	1.79	462	2.46	6543	426	32.14	469	30.46	1774	436	28.57	491	51.07	6857	435	31.49	473	31.79	1759	424	34.13	501	49.83
430	1.74	458	2.71	6757	420	33.80	471	32.09	1776	424	35.26	502	50.69	6674	431	29.75	474	30.76	1663	440	33.99	494	52.50
429	1.97	466	1.87	6365	406	32.13	463	30.95	1742	407	31.11	487	47.49	6681	404	29.63	465	25.57	1836	408	32.23	503	51.16
413	2.25	470	3.43	6745	406	31.61	476	28.63	1890	405	27.58	502	52.41	6471	410	25.65	471	28.08	1841	409	32.00	498	51.09
