328	4.00	354	4.85	8168	322	35.67	348	28.07	1569	325	38.74	358	17.84	6309	326	28.45	357	20.05	1397	324	37.47	357	19.29
334	4.50	361	5.13	6572	332	32.38	353	22.29	1266	335	33.73	358	17.88	6475	325	32.23	362	21.56	1461	331	39.19	357	19.87
335	4.45	360	5.01	6521	326	29.11	355	22.48	1243	329	34.95	356	16.96	7700	323	32.81	359	25.05	1891	330	53.75	353	24.78
344	5.03	354	4.11	7707	340	33.42	362	24.58	1729	340	49.15	361	22.05	7788	334	36.10	356	27.81	1983	335	56.53	358	25.52
344	4.71	362	4.13	7570	341	32.70	359	23.36	1827	342	44.76	359	20.69	7780	338	32.93	355	25.69	1768	343	49.41	358	24.88
344	4.01	361	3.83	7700	342	32.63	355	27.84	1675	339	44.59	359	20.59	8178	340	31.18	355	27.00	1682	339	47.44	358	22.86
348	4.92	362	4.64	7021	341	25.81	355	20.12	1960	346	55.79	360	22.67	8092	342	33.01	359	26.94	1996	344	58.20	358	27.20
340	4.66	363	3.73	8717	329	37.63	358	29.51	1585	332	39.38	356	18.50	7455	327	32.43	362	26.16	1896	331	50.91	361	28.19
334	3.86	352	5.23	7572	329	35.24	361	26.25	1778	327	47.32	358	21.27	8465	329	37.62	362	29.18	1925	328	53.88	352	24.53
330	4.48	351	4.99	7669	324	34.61	359	25.16	1932	329	55.11	353	23.59	6217	326	28.66	355	20.74	1926	332	54.59	354	24.56
342	4.43	363	5.02	8078	335	36.06	359	26.67	2132	338	57.56	357	24.15	6618	338	28.96	352	21.14	1839	338	51.58	353	25.89
331	4.62	355	4.56	7687	324	32.40	353	23.63	1976	326	55.43	354	22.79	6802	323	28.79	357	21.71	1982	329	51.39	358	25.09
332	4.31	357	3.76	7116	324	31.75	355	25.66	1868	328	51.63	356	23.20	6660	325	28.57	355	23.39	1793	324	50.46	356	22.93
331	4.29	364	4.91	6909	329	26.84	357	24.71	1728	330	50.23	353	21.07	7160	328	31.14	359	24.11	1590	330	47.11	358	21.68
345	4.05	363	5.30	8222	345	32.11	355	24.82	1687	341	46.49	358	19.75	6664	340	28.36	358	22.30	1910	344	52.20	356	23.67
335	4.27	359	4.82	7532	329	32.07	360	23.17	1685	329	51.15	356	21.19	6192	326	27.85	361	19.87	2032	329	61.80	358	25.41
335	4.99	362	5.09	8218	340	32.99	355	25.65	1780	341	51.15	357	21.97	6909	336	30.64	356	23.86	1977	342	62.31	362	25.28
