1953 538 28.54 545 10.66 1782 525 28.20 574 47.86
2180 496 25.78 508 10.44 1849 478 19.17 531 43.40
2147 494 22.50 502 10.71 2155 485 26.81 541 47.77
1891 499 22.55 501 8.34+ 1970 486 19.99 528 45.77
2041 497 23.32 505 9.31+ 1929 483 18.55 531 47.20
2038 503 23.77 511 11.03 1935 481 16.78 531 48.60
2329 497 24.17 510 9.57+ 1911 484 21.51 528 50.22
2316 495 23.20 508 12.15 1826 484 21.46 531 49.85
1893 496 24.56 511 10.14 1693 485 19.33 530 49.91
1917 496 20.87 505 8.56+ 1705 487 15.33 533 44.11
