326 10.53
329 10.62
324 10.37
329 10.22
324 10.42
319 10.86
316 9.52
309 10.44
308 10.32
309 10.57
307 10.18
308 10.25
309 10.30
313 10.28
312 10.30
313 10.75
315 9.94
315 10.66
316 9.91
311 9.81
309 9.92
307 10.38
311 9.84
317 10.76
314 10.12
312 9.92
309 9.80
311 10.53
310 10.57
310 9.95
319 10.12
318 10.33
315 10.57
317 10.59
322 10.18
319 10.51
322 9.96
323 10.09
324 10.78
322 10.73
321 10.28
316 10.00
319 9.92
315 9.63
317 10.34
320 11.04
314 10.49
314 10.06
315 10.72
318 10.48
304 10.93
318 9.76
322 9.82
321 9.59
316 10.18
318 11.52
323 9.95
320 10.26
321 10.91
323 10.26
319 10.40
324 10.47
323 10.56
324 10.61
320 10.34
318 10.60
322 10.76
324 10.99
318 10.29
320 10.22
321 9.54
317 11.27
318 10.15
315 9.81
317 10.72
321 9.49
322 10.81
323 11.27
323 10.12
325 10.66
322 10.63
324 9.81
325 10.55
324 10.58
323 10.00
330 10.22
325 10.39
325 10.66
326 10.42
325 10.12
322 10.37
321 10.91
321 10.41
319 10.41
317 10.25
321 10.75
321 10.19
317 10.65
322 10.27
325 10.56
