5859 307 8.89 
5844 307 9.99 
5884 307 8.29 
5854 309 8.68 
5843 310 8.78 
5829 311 10.28 
5867 312 12.03 
5881 313 10.38 
5840 312 6.77 
5977 311 9.94 
5972 313 8.92 
5806 310 9.07 
5910 309 10.03 
5830 310 9.40 
5867 311 10.19 
5965 312 9.54 
5786 311 8.58 
5834 310 8.35 
5742 310 10.82 
5858 310 8.73 
5867 312 9.04 
5819 313 8.97 
5829 311 8.43 
5766 311 10.03 
5883 310 9.39 
5841 311 9.25 
5868 311 10.80 
5778 311 9.19 
5772 313 9.11 
5281 311 8.57 
5802 314 7.64 
5942 313 9.21 
5791 313 10.70 
5881 314 12.24 
5913 314 9.56 
5830 314 9.71 
5800 313 9.12 
5290 314 8.60 
5937 315 8.40 
5881 314 10.42 
5785 313 10.12 
5832 314 9.01 
5768 312 8.78 
5809 312 9.17 
5918 314 10.26 
5873 315 10.38 
5868 314 11.30 
5891 311 9.00 
5886 310 8.86 
5928 313 8.52 
5792 311 9.59 
5814 312 9.44 
5807 310 9.59 
5896 311 10.09 
5791 311 9.41 
5879 310 10.46 
5808 312 10.31 
5849 313 10.41 
5926 311 10.37 
5865 312 10.32 
5815 310 10.39 
5855 307 9.71 
5949 310 9.60 
5924 313 9.79 
5999 311 9.04 
5853 312 9.15 
5883 311 8.65 
5901 311 9.57 
5818 311 9.18 
5855 312 9.10 
5867 313 10.04 
5780 311 9.47 
5883 311 9.73 
5902 308 9.31 
5802 309 8.44 
5889 312 8.03 
5862 313 9.09 
5479 311 9.04 
5717 312 8.88 
5753 313 8.38 
5884 312 7.51 
5790 310 8.90 
5822 313 8.40 
5858 312 8.70 
5877 313 9.18 
5909 312 10.06 
5862 313 12.91 
5869 313 11.93 
5814 309 10.47 
5841 310 9.65 
5915 312 7.59 
5839 310 6.82 
5791 310 8.16 
5854 312 9.83 
5918 311 10.29 
5791 313 9.17 
5816 312 10.19 
5898 312 11.19 
5816 312 9.51 
5855 310 10.13 
