1.50  305 
1.00  305 
1.00  305 
0.50  305 
1.00  305 
0.50  305 
0.50  305 
0.00  305 
0.50  305 
1.00  305 
0.50  305 
0.51  305 
0.50  305 
0.00  305 
1.00  305 
0.50  305 
0.00  305 
0.00  305 
0.50  305 
0.00  305 
0.51  305 
0.00  305 
0.00  305 
0.00  305 
1.00  305 
0.50  305 
0.00  305 
0.00  305 
0.50  305 
0.51  305 
0.00  305 
0.00  305 
1.00  305 
0.50  305 
0.00  305 
0.00  305 
0.50  305 
0.00  305 
0.50  305 
0.00  305 
0.00  305 
0.00  305 
0.00  305 
0.00  305 
0.00  305 
0.50  305 
1.00  305 
0.00  305 
0.50  305 
0.50  305 
0.00  305 
1.00  305 
1.49  305 
0.50  305 
0.00  305 
0.50  305 
0.50  305 
0.00  305 
0.50  305 
1.00  305 
1.00  305 
0.50  305 
1.00  305 
0.50  305 
1.01  305 
1.00  305 
1.00  305 
0.50  305 
0.50  304 
0.00  304 
0.50  304 
0.00  304 
1.00  304 
0.00  304 
1.50  304 
1.00  304 
0.00  305 
0.00  305 
1.50  305 
0.00  305 
0.00  305 
0.99  305 
1.49  305 
0.50  305 
0.50  305 
1.00  305 
0.00  305 
0.50  304 
0.50  304 
0.50  304 
0.00  304 
0.00  304 
1.98  304 
0.00  304 
0.00  304 
1.50  304 
0.50  304 
1.00  304 
1.00  304 
0.50  304 
