2329 395 32.64 437 8.30+ 2104 390 23.83 467 44.67
2348 405 35.18 446 10.12 1946 393 26.02 476 49.10
2407 403 32.81 448 9.55+ 1984 397 23.78 476 48.30
2140 404 32.26 452 9.27+ 2199 396 26.97 468 44.81
2271 408 30.49 453 11.54 2044 399 20.94 476 48.37
2599 407 37.67 451 11.43 1919 403 21.70 478 43.29
2135 408 28.39 453 9.22+ 1933 396 20.20 482 47.13
2526 407 35.31 454 11.81 1765 402 17.92 481 47.82
2122 405 29.22 451 10.38 2033 401 23.73 474 46.51
2344 407 29.80 455 10.85 1856 396 18.34 480 46.83
2236 412 31.10 453 12.48 1954 401 22.22 482 49.09
2359 410 27.28 457 10.93 1980 402 19.73 479 49.00
2323 411 33.76 456 10.65 1870 401 19.29 478 43.61
2761 409 40.71 456 11.46 1922 403 19.36 483 46.03
2547 412 29.92 458 9.89+ 1881 404 22.20 478 48.10
2386 408 32.73 455 8.93+ 1985 401 27.59 474 50.47
2231 418 33.39 459 10.40 1982 400 24.01 478 49.59
2408 410 35.73 461 9.46+ 2036 400 23.08 475 50.65
2164 411 33.10 460 9.04+ 1820 408 18.53 482 45.07
2175 413 32.70 458 10.86 1935 404 21.53 489 50.48
2367 413 35.12 461 10.98 1931 399 20.49 481 48.28
2395 410 35.23 462 11.28 1808 460 +42.7 478 50.62
2312 496 26.60 460 9.08+ 1739 489 16.24 479 47.82
2334 498 29.94 459 9.01+ 1941 488 16.21 484 49.45
2175 498 19.87 466 9.15+ 2255 487 27.26 479 48.82
2422 494 34.25 462 10.63 1906 488 18.63 485 48.35
2225 498 33.00 464 9.87+ 1900 488 13.52 484 48.77
2385 498 30.82 463 10.07 1977 484 22.14 481 48.29
2639 494 33.98 464 10.79 2071 486 21.76 483 42.50
2352 495 35.34 466 12.09 1986 483 22.40 489 46.66
2188 490 30.03 466 10.08 1925 486 19.74 492 49.23
2337 496 27.60 466 9.64+ 1766 488 19.00 490 46.27
1941 497 26.50 467 8.33+ 1887 487 18.84 489 48.33
2338 495 35.44 465 11.68 1989 485 19.71 493 46.71
2352 492 34.32 468 11.80 1968 485 22.22 484 47.76
2087 493 23.37 468 9.76+ 1801 485 16.58 484 47.44
2274 499 23.16 469 11.91 1940 486 17.76 484 47.99
2429 494 25.88 466 10.44 1996 487 19.28 491 44.76
2407 499 26.45 469 11.90 1908 485 21.92 487 47.80
2499 496 34.62 472 10.70 2188 489 27.19 487 46.65
2420 500 32.88 472 12.27 2025 490 19.31 497 49.38
2240 495 33.75 472 11.85 1983 488 19.89 497 45.57
2295 496 22.54 474 13.58 2035 488 21.29 486 47.97
2110 499 22.99 471 10.78 1921 489 20.48 494 49.95
2434 497 36.22 472 10.62 2105 491 23.51 495 48.47
2278 496 32.25 472 10.98 1898 491 19.02 489 50.15
2186 502 31.57 472 11.52 1879 493 20.11 499 48.47
2456 501 34.71 473 10.36 1973 494 22.96 501 49.06
2280 500 34.07 475 11.90 1920 492 19.96 492 49.20
2186 500 31.36 474 8.62+ 2023 497 24.40 501 49.14
2529 504 36.61 477 14.46 2037 496 23.21 494 45.32
2262 503 31.31 474 10.98 2012 495 22.70 502 46.38
2252 503 37.63 475 9.72+ 1955 496 19.46 497 47.48
2108 504 32.74 478 8.86+ 2008 498 23.38 502 48.04
2355 505 31.93 477 10.46 1933 500 19.24 491 48.55
2204 506 26.31 479 9.84+ 1912 492 19.22 496 49.16
1954 504 29.11 479 8.43+ 1909 496 19.44 496 43.24
2225 505 31.19 478 10.24 2011 498 19.85 507 46.69
2705 505 39.85 477 12.30 1965 497 21.63 504 48.38
2252 504 31.38 481 10.22 2204 498 23.78 504 48.66
2346 504 34.95 480 12.45 2038 498 20.64 508 48.22
2269 504 35.68 482 11.78 1788 500 18.94 507 48.45
2450 505 37.93 481 13.62 1974 499 19.58 509 43.95
2416 507 22.86 485 10.11 2227 500 27.35 505 46.47
2331 507 31.46 486 12.34 2097 498 25.14 498 47.07
2177 508 32.16 482 10.06 1935 499 22.12 508 46.84
2451 507 37.13 484 11.91 1866 501 17.70 508 45.90
2051 507 33.24 482 10.45 1955 502 23.51 507 48.24
2429 510 34.53 482 11.56 1964 503 24.78 510 50.75
2366 511 33.97 485 9.10+ 2063 502 23.53 512 50.59
2487 509 37.89 485 10.96 2136 498 26.05 508 47.63
2365 508 33.24 486 11.15 2163 500 26.01 514 48.76
2445 508 38.61 485 14.22 2180 502 26.41 512 46.81
2491 511 38.48 487 13.47 1928 504 21.23 510 49.78
2467 514 32.50 486 10.23 1950 503 22.41 510 48.77
2348 511 33.34 489 10.93 2079 506 23.08 508 48.84
2153 510 33.89 485 9.11+ 2009 502 22.40 517 48.82
2282 512 34.51 488 8.96+ 1858 502 17.54 509 44.18
2537 513 31.99 488 10.67 2024 507 24.94 518 47.60
2601 512 35.50 492 10.79 1939 505 23.99 511 48.76
2286 515 34.64 490 9.52+ 2129 506 23.08 521 49.04
2353 515 33.50 492 12.61 2043 503 26.05 520 46.33
2446 509 35.43 489 11.63 1983 506 22.28 514 50.07
1992 510 30.33 494 9.75+ 2056 505 23.38 515 46.34
2401 515 36.21 493 11.93 1928 505 21.19 518 49.65
2258 512 34.72 492 11.36 2054 506 21.69 516 48.28
2423 517 35.86 491 10.92 2035 508 28.13 517 50.34
2536 517 37.19 493 11.65 1842 504 20.12 514 49.43
2217 516 31.32 496 11.61 1956 508 22.75 521 48.06
2319 518 32.36 495 12.75 1965 508 19.30 518 48.33
2240 516 31.82 496 10.80 1956 506 21.99 519 50.37
2456 517 36.11 494 13.70 2050 506 23.20 518 51.25
2587 519 35.75 498 8.68+ 1937 514 19.46 522 47.18
2147 529 24.12 511 9.28+ 1934 515 19.66 522 51.06
2351 528 23.77 506 10.87 2070 519 22.03 518 46.08
2408 529 36.39 506 10.93 2257 512 27.29 519 47.20
2312 527 37.33 506 12.86 1990 517 17.39 535 48.47
2376 533 33.39 512 12.57 2077 515 21.16 526 47.72
