2288 451 32.33 448 14.51 2495 451 36.82 446 25.28
2476 468 33.88 457 16.29 1947 456 31.47 448 22.48
2690 468 35.56 460 17.80 1765 456 32.38 448 20.49
2046 466 30.56 461 17.63 2055 457 31.40 451 23.38
2222 464 31.92 460 16.41 2081 461 32.51 451 20.94
2360 470 29.87 463 15.40 1910 462 28.34 456 19.80
2403 470 35.51 463 14.87 2073 466 33.64 452 23.22
2332 470 31.40 463 17.37 2203 459 34.26 455 24.64
2225 472 31.67 462 15.23 1933 460 30.98 452 20.92
2236 471 34.35 467 16.00 2176 471 30.80 457 21.74
2340 473 32.28 465 14.60 2146 466 34.26 463 23.19
2302 470 34.82 467 15.00 1999 464 29.96 457 21.52
2316 472 32.62 466 14.11 2638 469 39.07 466 29.28
2347 473 36.57 468 15.60 2473 460 38.09 460 28.07
1996 473 31.95 470 14.43 2253 472 36.15 461 23.67
2245 473 33.63 470 17.88 1923 467 29.36 467 23.43
2438 473 31.96 470 17.29 1974 466 31.04 465 23.84
2165 479 32.61 470 16.80 2242 468 34.59 463 25.73
2866 475 37.82 472 21.04 2076 466 32.58 460 23.91
1989 475 32.51 472 15.14 2297 474 35.85 462 24.98
1957 475 31.24 472 13.82 1772 469 29.84 463 19.11
2183 479 31.48 472 14.71 2057 469 32.54 470 23.91
1949 478 31.94 474 12.48 1899 470 31.50 469 19.85
2208 478 33.76 475 11.47 1836 474 27.60 465 19.00
1998 478 32.55 475 13.94 2034 472 31.39 468 21.17
2834 479 38.18 475 19.47 1530 474 28.22 472 16.05
2016 482 28.98 476 11.91 2101 471 33.49 466 22.83
2423 479 35.26 480 16.46 1793 471 29.06 466 19.81
2409 481 33.27 477 14.08 2129 469 32.43 466 22.11
1859 477 31.92 476 13.18 1684 472 29.73 467 18.08
2661 483 33.66 477 17.63 1963 475 29.13 470 19.00
2304 481 37.06 476 15.63 1991 475 30.05 468 22.48
2418 484 34.11 477 15.67 2143 470 32.62 467 24.10
