354	1.14	360	1.87	5706	356	9.63	370	7.92	295	359	26.89	380	51.04	5821	360	9.99	353	6.51	276	361	25.95	390	50.91
384	1.29	369	1.83	5720	379	12.81	391	10.11	313	380	30.44	429	50.47	5649	370	10.39	401	9.04	305	373	28.14	416	51.48
379	1.10	384	1.93	5824	366	10.97	391	9.39	290	392	27.99	422	51.08	5760	377	10.22	389	6.89	293	389	26.69	416	49.51
387	1.06	403	1.72	5796	384	10.62	397	10.01	282	390	25.01	427	50.67	5736	377	12.41	390	8.31	308	391	29.33	421	50.50
398	1.42	386	2.46	5713	384	11.08	390	8.39	299	399	27.58	429	52.05	5828	388	11.75	396	7.58	305	396	28.90	425	50.83
391	1.14	400	0.60	5655	385	14.40	385	9.36	303	386	28.31	422	50.11	5738	373	9.47	383	8.71	298	383	27.76	416	51.29
402	1.05	384	2.00	5813	387	12.00	400	9.03	302	398	28.42	425	51.73	5673	386	10.84	396	7.77	299	394	28.54	421	50.73
389	1.37	395	1.70	5726	388	12.40	389	8.73	297	399	27.53	436	51.57	5653	389	9.37	395	7.80	282	400	27.29	412	50.51
398	1.38	410	2.29	5307	394	11.36	390	9.13	291	406	26.92	432	50.64	5538	393	11.16	402	8.06	299	403	28.73	413	51.95
397	1.50	386	1.55	5613	391	11.09	412	10.64	295	394	27.26	406	48.44	5770	386	11.31	398	8.48	288	395	26.17	424	50.65
387	1.14	399	1.84	5765	379	13.01	406	9.84	314	389	27.25	414	51.82	5773	378	10.87	397	8.46	301	383	28.13	420	50.51
384	1.27	396	1.79	5770	369	13.64	402	9.12	296	392	28.15	416	50.93	5715	383	11.79	403	8.28	303	389	28.63	428	50.29
396	1.33	401	1.81	5898	396	11.68	396	10.15	301	404	28.04	428	51.65	5747	399	9.33	403	8.68	299	406	27.37	422	51.54
398	1.32	398	2.23	5671	397	11.71	413	10.09	304	406	27.64	432	50.97	5761	396	11.75	417	8.01	316	401	30.41	435	51.56
390	1.24	396	1.99	5739	368	11.79	427	9.20	321	390	30.88	449	50.72	5877	393	12.57	411	7.78	301	398	28.60	425	50.36
387	1.37	400	1.91	5885	375	11.04	399	10.60	307	373	28.08	432	51.18	5620	371	9.44	412	8.17	304	386	28.47	422	51.95
399	1.38	385	1.65	5716	386	12.03	424	10.39	307	394	28.06	421	47.52	5764	388	11.14	395	8.66	314	384	30.21	427	51.27
410	1.18	408	2.11	5822	394	11.80	399	8.73	308	405	28.44	427	48.66	5734	390	10.92	412	8.38	315	404	28.31	405	50.39
398	1.50	411	2.01	5547	405	12.75	414	9.69	308	407	29.11	423	50.51	5715	393	12.19	401	8.67	316	406	30.05	427	49.95
410	1.10	412	1.88	5749	401	12.19	409	8.94	312	407	29.42	437	51.57	5674	396	10.55	420	8.79	317	404	29.32	430	50.66
406	1.41	397	1.78	5667	391	12.22	422	8.77	285	404	26.10	440	50.43	5745	396	9.98	413	8.56	290	404	27.25	410	50.93
398	1.46	410	2.19	5831	384	12.68	401	8.61	314	386	28.56	423	52.19	5832	377	8.71	411	8.18	300	388	28.18	426	51.59
391	1.14	394	2.24	5757	383	13.79	425	9.98	290	376	26.36	416	50.65	5742	375	11.30	399	8.48	300	378	28.41	431	48.76
383	1.46	407	0.85	5814	386	11.60	402	9.66	315	397	27.18	423	50.75	5828	385	10.72	407	9.42	310	397	29.53	421	51.99
395	1.40	417	1.92	5776	381	9.65	405	10.04	311	404	28.93	409	50.63	5710	392	11.23	397	8.39	298	401	27.69	426	50.14
412	1.64	404	1.43	5805	402	13.10	398	10.41	298	413	28.15	407	52.07	5803	398	10.07	418	7.90	300	406	27.98	415	51.86
394	1.69	396	2.12	5814	385	10.52	404	8.90	291	399	26.66	408	52.17	5807	391	10.31	409	7.81	301	399	27.58	402	52.11
396	1.42	407	1.71	5664	399	12.63	400	9.61	316	401	28.86	428	50.88	5700	394	10.07	413	8.71	298	406	27.70	423	50.68
408	1.37	399	1.73	5834	392	11.94	422	9.65	314	402	28.22	403	50.71	5774	388	10.26	398	7.67	296	396	26.61	430	50.65
396	1.33	407	2.28	5762	385	12.53	400	10.04	303	398	28.45	415	47.72	5837	395	9.99	409	8.27	306	398	27.23	430	50.07
394	1.32	421	1.98	5691	378	11.27	423	9.42	297	388	25.55	410	49.09	5778	378	9.88	419	8.16	304	386	27.14	408	51.84
393	1.32	413	1.87	5609	376	12.74	419	8.58	301	401	28.12	417	50.73	5707	392	11.13	395	7.02	316	400	29.89	421	50.83
407	1.46	397	2.15	5737	394	11.46	424	9.68	309	410	28.97	421	50.66	5594	405	11.26	407	8.07	296	412	28.47	411	51.85
406	1.19	394	1.75	5763	392	13.91	410	8.15	295	416	27.93	405	51.80	5735	407	10.57	395	9.27	283	415	26.87	417	51.57
404	1.56	410	1.67	5715	403	14.43	398	9.77	312	416	29.87	420	51.77	5740	401	11.50	398	9.03	308	411	29.12	418	51.41
391	1.60	415	2.15	5808	388	10.82	425	10.51	309	404	28.13	415	51.01	5878	395	12.55	400	8.35	301	398	27.15	432	47.45
408	1.29	408	1.95	5765	401	11.32	421	8.46	306	403	26.13	417	51.82	5724	401	10.66	401	8.62	303	401	27.91	429	50.59
398	1.23	427	2.14	5875	380	11.67	403	9.40	304	392	25.89	421	48.81	5853	380	10.94	400	7.79	297	385	28.13	427	51.17
394	1.50	422	1.72	5809	383	12.56	421	9.84	300	388	27.11	427	52.36	5752	383	10.26	416	7.62	288	385	26.11	422	51.27
398	1.47	402	1.93	5806	387	9.81	413	10.43	279	410	25.86	420	49.88	5706	399	11.15	413	7.58	300	409	28.44	416	50.98
416	1.32	400	1.65	5739	405	12.05	427	8.60	313	413	29.64	426	51.84	5657	399	10.52	414	8.52	306	405	28.87	425	50.55
409	1.10	426	2.01	5775	395	12.17	417	8.68	310	399	28.84	424	51.94	5812	394	11.59	416	10.35	302	402	29.00	408	51.92
