364	3.10	359	4.15	5456	360	12.61	382	11.43	319	366	25.09	372	15.97	5491	358	14.75	374	12.87	298	369	26.18	370	16.51
359	4.16	357	5.27	5432	345	13.68	382	12.02	311	355	27.56	364	14.78	5470	351	12.24	390	13.87	304	354	27.31	365	18.10
351	4.25	367	4.51	5502	342	14.70	367	12.56	309	348	28.94	365	15.49	5524	340	13.72	368	12.96	304	350	24.93	366	15.56
354	4.27	367	4.94	5513	352	12.21	383	12.19	315	360	26.40	374	14.90	5550	363	13.14	385	13.87	319	367	24.88	371	15.87
366	4.08	366	4.45	5483	344	12.22	383	11.62	322	352	24.38	364	15.07	5001	346	14.27	386	11.94	315	354	27.26	366	17.52
348	3.84	367	4.51	5452	341	11.93	388	11.52	323	350	27.44	368	15.93	5585	344	16.04	390	12.89	313	350	24.75	366	17.35
356	4.14	367	5.21	5619	352	14.76	380	12.60	312	359	27.15	367	15.16	5585	356	13.38	375	12.37	319	367	25.57	370	17.88
363	4.22	362	4.89	5537	354	11.63	380	12.05	315	362	25.40	372	15.34	5484	353	11.82	391	12.45	321	366	25.51	372	15.83
375	4.27	366	4.32	5495	366	13.30	379	11.99	320	373	26.79	372	15.53	5661	360	17.06	391	12.63	313	374	27.07	368	17.40
367	3.85	364	5.07	5432	353	15.03	392	11.55	319	365	27.19	371	15.44	5540	358	14.37	388	13.25	300	363	24.96	374	16.54
369	4.29	371	4.98	5429	355	10.21	394	12.96	310	367	25.24	376	14.45	5533	359	11.03	395	14.42	322	367	27.10	376	16.61
370	3.95	370	5.43	5542	354	10.66	394	11.71	309	366	24.89	377	14.54	5568	355	11.39	386	12.77	314	365	24.78	370	15.11
367	4.78	371	5.31	5388	360	11.48	392	14.10	312	366	24.20	383	14.76	5475	358	11.57	384	13.76	315	367	28.53	375	16.40
369	4.51	369	5.28	5402	360	14.71	388	12.93	312	367	27.47	373	15.71	5501	365	14.72	390	12.98	313	368	28.18	371	16.82
370	4.72	373	5.33	5522	364	17.23	377	13.38	309	370	24.59	369	14.87	5559	359	14.99	382	13.48	314	370	25.69	377	17.18
374	4.74	377	4.79	5499	364	12.37	383	12.33	306	373	24.60	381	14.83	5519	357	11.66	391	12.49	311	373	25.05	393	15.81
374	4.92	388	4.54	5476	370	11.64	395	11.20	314	373	24.49	380	14.32	5505	367	12.92	397	12.89	316	370	26.63	378	23.04
371	3.72	371	4.22	5540	356	13.34	396	11.32	323	365	27.12	380	14.78	5557	352	14.89	396	12.58	326	363	27.50	378	16.99
355	4.58	370	5.17	5451	347	14.13	396	13.34	310	359	26.53	379	14.63	5589	353	12.67	393	12.01	315	360	27.49	381	16.63
361	4.39	377	4.61	5545	356	14.12	377	12.52	306	356	25.25	387	18.19	5565	351	13.51	395	13.05	319	359	26.35	388	15.92
362	4.19	386	5.47	5430	357	12.75	394	12.54	321	358	25.28	387	14.63	5506	358	13.85	396	13.71	321	368	27.46	379	15.76
