2650 284 30.30 
1703 288 18.17 
1705 291 20.11 
1947 285 21.32 
2036 281 21.84 
1826 287 19.98 
1932 290 20.71 
1678 291 18.29 
1756 285 17.08 
2008 285 21.23 
2007 294 23.12 
1827 289 19.25 
2020 290 21.19 
1931 290 19.96 
2114 284 22.62 
1872 288 20.18 
1701 281 17.22 
1802 285 19.31 
1916 287 20.52 
1923 286 19.55 
1960 285 21.93 
1866 287 19.37 
1805 286 18.79 
1714 291 18.75 
1776 288 18.50 
1589 290 16.13 
1646 286 17.36 
1609 288 18.14 
1527 283 16.41 
1627 290 15.96 
1529 288 16.55 
1457 291 14.49 
1605 287 16.78 
1680 284 17.88 
1974 290 19.83 
2033 295 22.13 
2044 294 21.68 
2001 290 23.11 
1844 288 18.66 
1959 286 21.86 
1910 293 20.00 
1923 292 20.23 
1936 288 20.06 
2089 292 21.05 
1844 290 20.35 
1803 289 19.10 
1849 290 20.09 
1562 286 16.49 
2019 285 20.78 
1916 284 22.95 
1731 285 19.92 
1998 289 21.09 
1818 289 19.97 
1944 287 20.54 
1887 288 19.79 
1654 288 18.88 
1701 290 18.00 
1803 289 19.49 
1723 288 18.22 
1795 289 19.28 
1660 284 17.17 
1786 291 18.50 
1730 289 19.12 
1792 291 19.49 
1793 292 19.66 
1724 293 19.43 
1618 290 16.32 
1847 288 18.90 
1964 296 21.09 
1687 292 17.96 
1734 289 17.80 
1920 291 18.53 
2101 285 22.87 
2263 291 24.09 
2029 289 22.40 
2081 288 22.57 
2119 281 23.11 
1923 286 20.37 
2076 283 22.50 
1656 290 17.88 
1793 289 20.29 
1725 291 17.22 
1915 289 20.51 
2143 282 23.21 
1835 281 20.58 
1644 280 18.60 
1569 285 16.57 
1549 286 16.69 
1926 283 20.78 
1802 281 19.48 
1409 280 14.96 
1729 281 17.92 
1639 279 18.10 
1643 278 16.74 
1689 283 17.87 
1634 277 19.09 
1835 280 19.07 
1953 275 21.53 
2206 284 23.93 
1945 283 22.42 
