280 19.08
284 13.57
281 14.92
283 15.20
283 16.55
282 15.37
282 14.97
283 14.62
280 13.88
283 15.41
281 14.53
286 14.10
282 15.05
283 15.46
275 16.35
282 15.12
278 13.13
280 14.84
274 15.45
274 14.92
278 15.07
281 16.08
280 13.34
281 13.27
280 14.74
277 12.56
277 13.50
284 14.20
284 13.57
286 13.44
285 11.30
283 11.89
279 13.43
273 13.61
279 14.23
282 15.57
284 16.54
286 14.58
285 13.85
284 15.14
285 14.72
282 14.76
279 15.06
282 15.72
278 16.20
280 13.08
276 15.67
280 13.05
271 16.44
272 17.31
272 14.72
270 14.94
273 14.60
272 13.86
270 14.82
270 12.84
265 13.35
276 15.33
273 14.62
271 13.74
272 13.30
275 14.53
267 14.97
271 13.54
270 15.05
266 15.01
269 12.86
279 13.93
277 18.03
275 14.31
274 14.59
278 15.49
275 14.36
274 16.94
267 15.76
270 15.68
273 16.03
270 14.36
273 15.86
278 13.97
273 13.95
275 13.64
273 14.29
269 15.86
270 14.28
275 15.04
268 13.50
268 13.31
267 14.30
267 14.98
270 12.20
267 13.18
267 14.17
272 13.57
270 13.56
275 14.65
270 14.65
270 15.99
269 16.34
273 15.74
