9247 290 27.27 
8277 281 27.48 
8061 283 25.71 
9264 283 30.09 
9242 283 27.89 
8862 284 29.41 
8920 286 27.61 
8012 288 26.15 
8424 291 26.87 
8727 292 28.17 
9094 288 29.20 
8353 282 26.92 
7722 282 23.68 
8477 283 25.60 
8109 290 26.42 
8071 284 26.79 
7721 286 24.09 
8229 287 24.48 
7948 288 26.80 
8049 289 24.83 
7487 288 23.37 
7648 290 23.65 
8196 289 23.48 
7843 291 26.12 
7812 291 25.66 
8767 289 26.91 
8506 289 27.64 
8007 289 28.67 
8524 288 28.84 
7762 288 25.58 
8701 288 27.02 
6995 289 22.18 
7440 288 23.41 
8137 289 24.75 
8588 285 26.47 
8047 288 25.44 
7333 288 24.54 
8080 280 25.48 
8201 288 26.09 
8485 285 27.94 
8171 286 27.24 
7654 281 24.76 
8793 280 27.91 
8065 283 26.13 
8673 279 28.65 
8243 274 26.56 
8240 279 26.83 
7793 279 25.78 
7981 281 23.96 
8341 282 26.80 
7607 281 23.71 
7539 284 23.78 
7132 282 22.96 
7713 277 24.38 
7705 282 25.24 
7386 283 24.14 
7180 285 23.12 
7270 288 22.69 
7086 286 22.63 
7899 285 24.04 
7976 288 24.47 
7130 290 23.20 
7258 289 22.49 
7549 289 24.22 
7729 288 25.03 
9017 292 27.66 
7823 291 25.13 
7252 290 22.23 
7484 289 24.79 
7676 287 23.19 
7627 286 23.74 
7128 289 22.79 
7181 290 21.89 
7798 290 24.28 
7596 286 23.93 
8329 291 26.43 
7949 288 25.47 
7968 290 25.15 
8842 288 28.13 
8523 288 27.11 
9124 287 29.39 
7969 287 25.64 
7796 287 23.67 
8666 287 27.96 
8451 287 28.64 
8292 283 27.02 
7706 280 24.86 
8219 282 25.89 
7093 285 22.75 
7684 285 23.75 
8246 285 27.00 
7551 286 24.40 
7792 283 26.29 
7914 284 24.91 
7847 286 24.97 
7910 286 25.75 
7204 286 24.31 
7704 283 24.02 
8011 289 25.43 
7397 284 23.84 
